lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
1038031,BoatyMcBoatFace,275330,BTX',25,99,629874430,24065,1892285965,Wilderburg,-,650773850,566782526,31734406,18680998,12676500,17954028,1391416241,997,460429,350552,845,1076448162,1923518431,925397077,1557526970,448,11679333162,2357,98364,65718600106,67199019620,52188233725,46109873461,-,1179703327,540600542,28639175,11455101,130569417
13744535,벌꿀오소리형,305335,WB_A,25,249,579715925,24065,1520822640,Wilderburg,-,610801736,516833551,31734406,18680998,12466970,21031484,1283659419,662,709778,222062,217,920185281,1536038499,475328589,3480524111,265,1757241880,364,65484,84677772269,99085681847,47740472099,58962866538,-,727710179,709155046,26865717,12310514,44604542
1209648,BLIИK,275330,BTX',25,99,522060433,24065,2608135112,Wilderburg,-,522060433,457601699,31734406,18680998,14043330,17395497,1743428475,5957,556867,475556,2783,2176055571,1820361738,902330213,2449837796,26,1915283670,395,110029,94170138674,90880654325,63116969697,65730292069,-,1440430765,916068507,67951320,42099552,130864536
12918179,ᶠᴮᶦZukе,275330,BTX',25,99,503406403,24065,1158526578,Wilderburg,-,536375753,441416359,31734406,18680998,11574640,7775938,871704693,719,397015,198489,534,1657959261,621266797,641647063,5083702074,25,3816319156,772,89997,60445838722,55856822779,40734518029,38134272514,-,570161872,503687905,8815868,6621675,69041582
2063454,ˢᶦᵍᵐᵃJuliaMint,240040,NTS,25,49,466815273,24065,1885126346,Wilderburg,-,472774023,403979509,31734406,18680998,12420360,18740680,1361404303,2499,548884,333134,799,145939904,183280821,125974230,1219359745,189,3264180991,656,76760,52157600113,49861740584,29454393699,31739402699,-,772020661,989579162,33384246,17415478,71366332
2020543,ᵃˡᵖʰᵃMaxim,240040,NTS,25,49,456568574,24065,1451987917,Wilderburg,-,456656144,394201035,31732531,18680998,11954010,26886113,1095658386,949,363378,291673,289,36380969,36603745,30999912,320996084,117,12478839420,2536,73639,33452531312,28490038856,16644270594,19067672048,-,612686842,754047904,30100574,24337211,29809802
2554608,Joker7even,275330,BTX',25,99,445505040,24065,2311914429,League of Order,-,474203345,382893236,31734406,18680998,12196400,17832534,1536105430,1459,582467,491015,1694,183166526,137429025,48357768,726662720,69,15728490925,3247,74276,46708524774,42591387098,25812704904,28342588011,-,1320790623,819850787,34864079,16022061,119720815
5272529,MUBIIIIIIIIIIIIIIIIN,275330,BTX',25,99,434400044,24065,2237872901,League of Order,-,434489669,373021960,31734406,18680998,10962680,29060099,1394313551,2681,544172,352833,604,210856005,95247927,343889234,940078316,228,12027003291,2562,81220,51315366059,47710425469,24166816627,30729366275,-,1016100474,989069516,92628740,51292818,83825069
4446697,Redarm  레드암 오빠,339030,wAo,25,92,431040619,24065,3059902343,League of Order,-,502294819,368015505,31734406,18680998,12609710,38874493,1708618273,3878,714751,442991,2865,575435060,274242280,226079517,1116596201,2540,925338985,195,84609,96414924436,80251147368,50807653547,57777307432,-,1520264268,1292279595,81755487,35274006,127187791
12932749,ᵛᶰʙᴀʙɪʙʟᴜᴇ,302194,TFS,25,40,417462044,24065,1252661222,League of Order,-,489799304,354235130,31734406,18680998,12811510,10871957,962662062,1474,444729,185215,229,245744397,170119165,140105638,3470606546,1433,225000069,46,71935,53923835824,57972892469,33895393388,37614641507,-,598114081,530726362,23545874,15341276,83828536
4508150,Мubin,275330,BTX',25,99,416415910,24065,2468154272,Wilderburg,-,450209010,353710206,31734406,18680998,12289160,17784767,1661478532,1666,571200,553394,1591,1227867097,966751078,1221196897,6321105342,246,4675003629,966,159003,68170900912,64261757965,40528763012,42249086209,-,1415929945,658848776,50479961,38967574,303077582
4997858,神农ᶦᵒⁿᶻ,275330,BTX',25,99,412402012,24065,1878193229,League of Order,-,424568414,350038258,31734406,18680998,11948350,11962132,1345169860,1146,604326,444182,393,1270224381,1118809353,826123010,4106673169,314,4165683613,846,46886,37688533302,35068806466,20240890595,22719236523,-,971333363,769484654,21068385,13810942,101822029
7767962,ᴹᴵᴸᴷＧｅｎｅｓｉｓ,275330,BTX',25,99,389397633,24065,985200103,League of Order,-,389435933,327860099,31734406,18680998,11122130,8190906,672189801,402,338907,310286,483,450650434,394446635,323104861,1459027079,20,561610803,133,97098,31654519885,28518848496,13389428986,18595198289,-,578669299,313011512,30027635,21683683,41547867
10764095,ᵃˡᵖʰᵃАNGEL,240040,NTS,25,49,383253011,24065,668584855,League of Order,-,383294131,320108482,31732531,18680998,12772120,9200998,716240871,428,365618,179747,1283,2238829042,1585101716,926901843,2619771788,66,6549585494,1329,101379,45144443235,45334441076,19974781078,26886962934,-,407183300,223349599,2904319,4976119,30023914
9954462,MVC,305335,WB_A,25,249,382786470,24065,1513121006,Springwardens,-,395843840,321458296,31734406,18680998,10912770,21235462,1127696464,2083,422907,222604,2369,1955783248,1196081522,1618479397,6731490638,8377,12023918520,2419,155222,54356000169,49453538335,26307230674,28522056681,-,776075399,637117986,23316520,10351249,65438431
6853139,XFTManiacʷᴬᵒ,339030,wAo,25,92,382515513,24065,1385815172,League of Order,-,382548103,319558699,31734406,18680998,12541410,10093021,991112166,971,381931,282126,378,288114266,159611350,161724531,561075877,41,489430058,99,98318,44963241691,39126759142,21574680665,26910453767,-,790330404,484960020,27103058,10382543,68874215
11403527,친 수,305335,WB_A,25,249,377346206,24065,1607317239,League of Order,-,385410446,315524427,31732531,18680998,11408250,20194804,883676106,767,426002,411493,388,362830527,132091172,286576978,4239377768,28,1638387850,331,76848,45012751387,39760589810,17367509869,24198288615,-,1028669628,477676216,52637834,18626178,29630011
1189958,Pax HALDRION,275330,BTX',25,99,370513855,24065,2303969074,League of Order,-,370513855,308344686,31732531,18680998,11755640,2454851,984831074,650,273881,228119,532,712860878,595592967,259514482,3230232449,83,19865178719,4020,98437,27614623890,24754178512,20433766050,14289808213,-,519391096,1166405241,17466060,7574846,592901715
10378576,파리스,305335,WB_A,25,249,366332488,24065,1207652714,League of Order,-,370675128,304194514,31734406,18680998,11722570,8175072,933673178,971,315178,369465,481,349803088,240858631,124867295,5656359256,113,156982446,34,111292,26654704632,24608953766,14642750277,16107150097,-,726099832,377262635,13935791,4867462,84903452
13973749,OG Zero,305335,WB_A,25,249,365295259,24065,1263593442,Wilderburg,-,365312809,301668290,31732531,18680998,13213440,4649134,523140071,3812,152298,211240,525,433127784,295289456,484815483,610614600,299,92500000,19,58796,48162732715,43608411073,35433649597,33095043446,-,308678958,840406834,61828060,23065193,28295645
18075009,FW帝国丨곰Panda,305335,WB_A,25,249,356707918,24065,2051157163,Wilderburg,-,356707918,294332299,31732531,18680998,11962090,11419624,738089150,1652,201192,178819,946,112840517,85734874,61146768,1973928079,33,2057347238,412,65996,51968083330,55904601237,35914860035,35407270277,-,508613329,1380303740,62510150,18997207,79183766
9886501,Mcreamy,305335,WB_A,25,249,356498001,24065,1934743003,Wilderburg,-,374674169,293302307,31734406,18680998,12780290,42341946,1572265903,2889,817461,361740,699,1079557351,1023826329,648924140,5190982428,338,1848384264,392,118168,93618971417,94475484632,56522126974,61088388668,-,1125445607,702492674,21186907,12334015,72526833
9966403,ᵂᴮ ʚ Zoey ɞ,305335,WB_A,25,249,353091021,24065,1724402042,Wilderburg,-,394465691,290654027,31734406,18680998,12021590,11117343,1317257360,846,615179,362785,1795,946880818,1131157002,966749085,5983803614,366,3924143305,789,119670,49845890892,50007028694,28862664330,28864946377,-,775587857,824816817,37592322,20094836,65898275
3277518,ᴳᴿcrazydoctor94,275330,BTX',25,99,351389385,24065,1902875759,League of Order,-,351389385,289726101,31734406,18680998,11247880,10878640,1350893613,1344,566948,451534,1002,191233748,77819476,92183773,689561656,100,6114600231,1263,103416,41039762563,35940305780,24718550103,24284619634,-,988158004,782832905,47361435,22689828,60817563
1488914,ᵗᶠˢ JᴀsoɴGᴇᴇ,302194,TFS,25,40,347849317,24065,1988949937,League of Order,-,361439197,284888493,31734406,18680998,12545420,54397357,1719837932,4856,845737,370151,723,65192882,50696444,5076847,593482406,18,31847750368,6763,80245,101334588826,96287325071,48667525376,60857060919,-,1064408254,772492665,52773376,31544656,62968146
9704372,Aristotle ˢˢᴳ,305335,WB_A,25,249,347703626,24065,2297466883,Wilderburg,-,392307191,285764482,31734406,18680998,11523740,23148840,1727782688,2723,983049,402013,1371,1125728627,946409258,304225501,1382714005,751,3769195439,788,112757,70085378137,77664874574,29527576185,41985522324,-,1220670201,898338266,46250908,23526973,107380287
3238703,SugarWoogy,275330,BTX',25,99,345901539,24065,1217644919,League of Order,-,345901539,283998500,31732531,18680998,11489510,12922918,957485704,2365,405678,241424,1089,7478574,9605727,2470994,17757823,2,331415258,67,51992,46584125448,49031410018,40175754289,36216911866,-,704306535,396973300,27689640,13353441,73089680
3060941,ᵍᵃᵐᵐᵃ Nostraa,240040,NTS,25,49,340114748,24065,2293688489,League of Order,-,361563418,278676894,31734406,18680998,11022450,13284026,1324608417,7183,475144,592828,2122,339596129,146028211,173062906,2857515876,41,37661691266,7931,143869,24459700759,21042051797,15424415978,15108634881,-,1204764747,832233587,80078234,66509587,95269055
6384066,lIIIlIlllIlIllI,275330,BTX',25,99,334625375,24065,1799054787,Wilderburg,-,366146259,271524461,31734406,18680998,12685510,4778328,1011292726,201,161765,367295,787,3787453268,3169085640,2061098309,5793551640,23349,3773922661,774,242174,32083067490,32177299038,16831255366,17733431722,-,570710384,1091603635,50785535,23826380,61902386
5000607,S O R E N,275330,BTX',25,99,333436252,24065,1973125624,League of Order,-,387476089,271882988,31734406,18680998,11137860,7029634,1083239529,1177,265939,582267,445,453251171,495092697,290005790,5121196002,157,405533838,90,107023,13123255836,13301306901,6494842910,7343843661,-,940976005,912686552,38940648,13629386,66308223
2030204,ᵘᵖTalal,275330,BTX',25,99,316811945,24065,1309080277,League of Order,-,331746645,253366361,31734406,18680998,13030180,8941954,897347088,396,292771,326774,500,1231554068,1254560719,982374180,2529423136,455,533423949,113,135206,15810533794,16053904390,9324501682,10212076965,-,734089491,452326385,8418574,4824926,109161622
3137186,KaTzilla,302194,TFS,25,40,307138733,24065,901524393,League of Order,-,307170443,246504309,31734406,18680998,10219020,3518572,845495691,137,295570,272648,213,665763979,900062342,598598095,2714724995,1168,439300370,94,70178,13899131601,13874990718,8053720251,9249999310,-,584626397,274547846,7706070,5259002,29184118
9682726,YÜMYÜM,305335,WB_A,25,249,307118870,24065,1800667091,League of Order,-,357939688,244877036,31734406,18680998,11826430,12495392,1375484595,3633,650498,278170,1562,1056172612,730180011,521146861,4851887884,174,8426695072,1721,105720,51815315163,45986828546,25747115326,28664526104,-,720470291,948845696,43735853,22431853,61526407
6420073,Dustinᵂᵃˡˡᶠˡᵒʷᵉʳ,267593,NxW,25,375,305824086,375,2376144418,Wilderburg,-,349541936,243401352,31734406,18680998,12007330,12173771,1419542702,3413,617931,456030,1366,2332017284,1093370335,1405024533,9015599654,5,1320704857,274,201258,70445075515,57923732424,40954955174,42639743880,-,1122265987,1113295771,43409053,18963839,74815154
10164187,籵GENTLEMAN,339030,wAo,25,92,298462132,24065,1742737275,League of Order,-,325357672,235976978,31734406,18680998,12069750,13635117,1230574554,1095,615500,339158,823,406053520,209738859,360719383,7281448594,55,4827782996,971,133731,53198892853,57907581622,23555981854,30863636365,-,921143648,663807147,35786303,15560288,105377344
2436361,ᴰˢᴶᵘᶦᶜᵉʳSAOKirito,302194,TFS,25,40,295312933,24065,1628051171,League of Order,-,333488105,232560649,31734406,18680998,12336880,10876061,1168871485,329,512728,373231,770,724248804,677386315,624559629,1671570256,62,969430376,261,91839,39112844921,38251713061,21711613851,25473649997,-,926650431,601502035,19669871,8986085,70959456
10423535,ᵂᴮ Elega,305335,WB_A,25,249,293306869,24065,2069026258,Wilderburg,-,386483390,231533845,31734406,18680998,11357620,23089914,1609406843,4206,670844,370865,428,1511410586,1274130200,160184175,1451894726,305,3532358186,758,120628,61162030173,59180763477,26485868429,35465788607,-,949055684,944776121,50918401,21885455,100423252
1652362,ChiefYahoo,275330,BTX',25,99,289460839,24065,1131088170,League of Order,-,289460839,226626035,31734406,18680998,12419400,6321577,944967551,1462,418888,251481,1404,1395535196,971483247,949253682,5394120925,82,1617892359,352,177154,27445279031,26110588448,11594519304,16208267428,-,686461973,309579419,26423874,20882767,85136118
2286961,ᵍᵃᵐᵐᵃ ḶöṡẗṠöüḶ,240040,NTS,25,49,281467948,24065,2368893874,League of Order,-,281508758,219329474,31734406,18680998,11710920,13432192,1386989015,1014,578466,564600,3642,1156394167,644899354,688558098,8721198091,861,3010759873,663,119143,53684684489,50437972062,32562063382,35243143725,-,1463029057,783992049,37423743,17172238,66024519
2367626,K Ö N G,275330,BTX',25,99,279894616,24065,1132664115,Springwardens,-,279894616,217274562,31734406,18680998,12204650,8338024,798264957,1359,328096,261098,1354,739402274,1137219566,293903037,1768496967,422,1837699552,390,87122,36422306662,36131123844,21225787895,23086550214,-,541123014,470533198,36994110,22344706,60693826
1185328,Mádara,302194,TFS,25,40,278686246,24065,1110792849,League of Order,-,278686246,218594992,31734406,18680998,9675850,2122721,857520516,462,246679,305533,247,481659863,417380201,285774620,4047984430,5512,9410843082,1910,75767,12046173345,11905791305,7836987135,7773088814,-,590438425,427254777,17714463,7158241,67588783
9061722,BANKAIⁿᵗˢ,339030,wAo,25,92,278391073,24065,1768884790,League of Order,-,282598353,217590069,31734406,18680998,10385600,10377438,1021765160,2536,339063,372574,1856,302766192,195703519,165359180,1756345855,79,1766954255,380,100270,33251926854,25994284471,20367465354,19630337379,-,757844122,854174412,25346295,14681978,115555768
3668102,Crystal x Fluffy,302194,TFS,25,40,277747692,24065,1618425938,League of Order,-,427868453,216518588,31734406,18680998,10813700,29770200,1444082212,1352,670164,253914,588,1098709325,490755230,822074149,1921616722,401,18100579142,3662,122170,60426486366,57551596229,27084468780,30546648496,-,886488465,571471727,21891581,10361714,127126093
1209880,N I K I ˢˢᴳ,302194,TFS,25,40,277113616,24065,2581256657,League of Order,-,277113616,214732892,31734406,18680998,11965320,29976919,1729984223,6335,647542,524750,1293,1655343984,587104675,504293660,4647298852,73,3333391971,687,139230,86979033120,74189458695,42216943687,48272976003,-,1530040367,880481036,32392430,20930022,111241992
8445937,ᵃˡᵖʰᵃMuH3DPaB,240040,NTS,25,49,276812002,24065,1646187634,League of Order,-,283004512,214192698,31734406,18680998,12203900,4654879,848514356,840,278556,358771,762,290586733,185839969,289068334,3575145437,207,12447074382,2575,173664,40966998010,39695679711,26355194733,23892584894,-,626283518,861461155,37075208,24288175,96061211
3903374,Drow,275330,BTX',25,99,266588821,24065,2106392443,League of Order,-,289668911,204355187,31734406,18680998,11818230,10689054,1199533770,790,292400,388519,618,1469254211,718463262,1663362957,4980964557,1596,1217749532,261,186962,23833469429,23161325344,18297396478,16217734443,-,1002625669,964786106,37788362,16285902,84365940
4823384,KillèrBee,275330,BTX',25,99,264090667,24065,688666663,League of Order,-,264090667,202204033,31734406,18680998,11471230,3181996,692743613,73,209691,270170,318,1018402120,857523425,601442054,3489742233,105,3469499741,705,95455,16093614152,16660634070,7287939267,8984501701,-,363582723,275052782,8469037,3331872,38219223
1197292,ᴶ ᴼ ᵁ ᴸ ᴱ,275330,BTX',25,99,261127120,24065,891537645,Wilderburg,-,274823820,198292506,31734406,18680998,12335790,18818348,733193827,340,159200,426623,553,837959740,843007760,597265977,480073917,441,22548186,13,131610,25054327664,24235229569,19095469711,18013306066,-,639064869,186356738,1575476,2639601,61730015
1220924,ˢᶦᵍᵐᵃ Stitch,240040,NTS,25,49,260568210,24065,969117022,League of Order,-,287877932,200116966,31734406,18680998,10035840,8779352,878710001,3625,362153,227682,464,230336778,446460302,77907528,1120198178,109,35768440266,7325,70175,22586742718,22226782091,14049583152,9875306821,-,488190395,302521188,44521416,20422240,107876716
4697590,ᴄ ᴀ ɴ ᴅ ʏ ㆆᴗㆆ,275330,BTX',25,99,260274267,24065,997905256,League of Order,-,260337397,199537133,31734406,18680998,10321730,4214609,843625968,583,295192,230414,833,467471182,275738897,402020749,3636054164,143,894141946,184,113297,11857022279,11820182442,5953707230,6457866583,-,445040317,433637025,30009509,19159838,69269081
14685384,SKAMERON42〤,267593,NxW,25,375,260232986,24065,2312239479,League of Order,-,288175187,197121527,31732531,18680998,12697930,21779106,1089915390,7907,395148,267222,1970,34084883,35862178,19698806,2084015266,39,595820783,144,86494,65362174819,61515462775,48196528157,46005959232,-,796940082,1334828610,39435831,22880268,115573506
2097905,M33SHKA117,302194,TFS,25,40,259347274,24065,1212594030,League of Order,-,262334604,196603900,31734406,18680998,12327970,8588732,996275918,541,334302,368858,696,1026807485,1078380178,1070557949,3185018609,183,3012190131,619,143333,22350465036,22939306373,12700706580,13069738893,-,730802976,359019975,11277303,10463552,100568505
1257530,CUAlma,339030,wAo,25,92,259006930,24065,1626391809,Springwardens,-,264023130,196558736,31734406,18680998,12032790,6458534,859978606,1346,296648,221620,1202,390371624,253448616,414726076,3140936343,5482,1153070045,268,137945,19962259048,18370849478,8658795106,10778282286,-,668351544,757707454,36185022,15242160,147759176
3466398,ᵇᵉᵗᵃҞȺɃȺŁ,240040,NTS,25,49,258280359,24065,1389448421,League of Order,-,274007169,197135150,31732531,18680998,10603680,6247140,917815339,1429,250551,276924,1142,732732680,434621951,1000912026,2945792496,57,6061003564,1278,100881,12809152493,13859854635,10014059638,8123191220,-,603403821,674846399,32813730,19214103,56739278
3021274,ᵍᵃᵐᵐᵃ Ploybell,275330,BTX',25,99,257585058,24065,1582906875,Wilderburg,-,265484588,195413964,31734406,18680998,11755690,10138545,857792982,2513,196050,331044,1060,283649986,512059376,612831566,7747135763,55,284236110,147,109462,23308202828,23104906201,15032793331,15282630487,-,768706797,657477059,9733942,11083855,135260255
